id;locale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-100000100000;en;AUTH.GREETINGS;Greetings fellow, Honkler!;Greetings fellow, Honkler!;1;
550e8400-e29b-41d4-a716-100000200000;en;AUTH.SIGN_IN.JOKE;Maybe we need back to;Maybe we need back to;1;
550e8400-e29b-41d4-a716-100000300000;en;AUTH.NO_ACCOUNT_SIGN_UP;Don''t have an account? Sign up now!;Don''t have an account? Sign up now!;1;
550e8400-e29b-41d4-a716-100000400000;en;AUTH.HAS_ACCOUNT_SIGN_IN;Already have an account? Sign in now!;Already have an account? Sign in now!;1;
550e8400-e29b-41d4-a716-100000500000;en;COMMON.FIX_ERROR_BEFORE_CONTINUE;Please fix the error before continuing.;Please fix the error before continuing.;1;
550e8400-e29b-41d4-a716-100000500001;en;COMMON.WE_ARE_HONKING;We are honking since 2025!;We are honking since 2025!;1;
550e8400-e29b-41d4-a716-100000600000;en;COMMON.BUTTON.OK;OK;OK;1;
550e8400-e29b-41d4-a716-100000700000;en;COMMON.BUTTON.CANCEL;Cancel;Cancel;1;
550e8400-e29b-41d4-a716-100000800000;en;COMMON.BUTTON.PROCEED;Proceed;Proceed;1;
550e8400-e29b-41d4-a716-100000900000;en;COMMON.BUTTON.SAVE;Save;Save;1;
550e8400-e29b-41d4-a716-100000900001;en;COMMON.BUTTON.UPDATE;Update;Update;1;
550e8400-e29b-41d4-a716-100001000000;en;COMMON.BUTTON.HONK;Honk;Honk;1;
550e8400-e29b-41d4-a716-100001000001;en;COMMON.BUTTON.ADD;Add;Add;1;
550e8400-e29b-41d4-a716-100001000002;en;COMMON.BUTTON.REMOVE;Remove;Remove;1;
550e8400-e29b-41d4-a716-100001000003;en;COMMON.BUTTON.EDIT;Edit;Edit;1;
550e8400-e29b-41d4-a716-100001000004;en;COMMON.BUTTON.CREATE;Create;Create;1;
550e8400-e29b-41d4-a716-100001000005;en;COMMON.BUTTON.RESET;Reset;Reset;1;
550e8400-e29b-41d4-a716-100001100000;en;AUTH.SIGN_IN.LOGIN_OR_EMAIL;Login or email;Login or email;1;
550e8400-e29b-41d4-a716-100001200000;en;COMMON.PASSWORD;Password;Password;1;
550e8400-e29b-41d4-a716-100001300000;en;AUTH.SIGN_IN.REMEMBER_ME;Remember me;Remember me;1;
550e8400-e29b-41d4-a716-100001400000;en;AUTH.FORGOT;Forgot?;Forgot?;1;
550e8400-e29b-41d4-a716-100001500000;en;AUTH.SIGN_IN.SIGN_IN;Sign in;Sign in;1;
550e8400-e29b-41d4-a716-100001600000;en;COMMON.EMAIL;Email;Email;1;
550e8400-e29b-41d4-a716-100001700000;en;COMMON.LOGIN;Login;Login;1;
550e8400-e29b-41d4-a716-100001800000;en;AUTH.SIGN_UP.WELCOME;Welcome to the Honkler community!;Welcome to the Honkler community!;1;
550e8400-e29b-41d4-a716-100001900000;en;COMMON.FIRST_NAME;First name;First name;1;
550e8400-e29b-41d4-a716-100002000000;en;COMMON.LAST_NAME;Last name;Last name;1;
550e8400-e29b-41d4-a716-100002100000;en;COMMON.CONFIRM_EMAIL;Confirm email;Confirm email;1;
550e8400-e29b-41d4-a716-100002200000;en;COMMON.CONFIRM_PASSWORD;Confirm password;Confirm password;1;
550e8400-e29b-41d4-a716-100002300000;en;COMMON.NO_COMPLAINTS;No complaints;No complaints;1;
550e8400-e29b-41d4-a716-100002400000;en;COMMON.SIGN_UP;Sign up;Sign up;1;
550e8400-e29b-41d4-a716-100002500000;en;PROFILE.EDUCATION.FIELD_OF_STUDY;Field of study;Field of study;1;
550e8400-e29b-41d4-a716-100002600000;en;PROFILE.EDUCATION.INSTITUTION;Institution;Institution;1;
550e8400-e29b-41d4-a716-100002700000;en;COMMON.DO_NOT_STORE_ANY_SENSITIVE_DATA;Do not store any sensitive data;Do not store any sensitive data;1;
550e8400-e29b-41d4-a716-100002800000;en;COMMON.START_DATE;Start date;Start date;1;
550e8400-e29b-41d4-a716-100002900000;en;COMMON.END_DATE;End date;End date;1;
550e8400-e29b-41d4-a716-100003000000;en;COMMON.ISSUE_DATE;Issue date;Issue date;1;
550e8400-e29b-41d4-a716-100003100000;en;COMMON.EXPIRATION_DATE;Expiration date;Expiration date;1;
550e8400-e29b-41d4-a716-100003200000;en;PROFILE.CERTIFICATION.CERTIFICATION;Certification;Certification;1;
550e8400-e29b-41d4-a716-100003300000;en;PROFILE.CERTIFICATION.ISSUER;Issuer;Issuer;1;
550e8400-e29b-41d4-a716-100003400000;en;PROFILE.PROJECT.PROJECT;Project;Project;1;
550e8400-e29b-41d4-a716-100003500000;en;PROFILE.COMPANY.COMPANY;Company;Company;1;
550e8400-e29b-41d4-a716-100003600000;en;PROFILE.ACHIEVEMENT.ACHIEVEMENT;Achievement;Achievement;1;
550e8400-e29b-41d4-a716-100003700000;en;COMMON.POSITION;Position;Position;1;
