id;locale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-200000100000;es;AUTH.GREETINGS;Greetings fellow, Honkler!;¡Saludos, Honkler!;1;
550e8400-e29b-41d4-a716-200000200000;es;AUTH.SIGN_IN.JOKE;Maybe we need back to;Quizás necesitemos volver a;1;
550e8400-e29b-41d4-a716-200000300000;es;AUTH.NO_ACCOUNT_SIGN_UP;Don''t have an account? Sign up now!;¿No tienes una cuenta? ¡Regístrate ahora!;1;
550e8400-e29b-41d4-a716-200000400000;es;AUTH.HAS_ACCOUNT_SIGN_IN;Already have an account? Sign in now!;¿Ya tienes una cuenta? ¡Inicia sesión ahora!;1;
550e8400-e29b-41d4-a716-200000500000;es;COMMON.FIX_ERROR_BEFORE_CONTINUE;Please fix the error before continuing.;Por favor, corrige el error antes de continuar.;1;
550e8400-e29b-41d4-a716-200000500001;es;COMMON.WE_ARE_HONKING;We are honking since 2025!;¡Estamos honking desde 2025!;1;
550e8400-e29b-41d4-a716-200000600000;es;COMMON.BUTTON.OK;OK;OK;1;
550e8400-e29b-41d4-a716-200000700000;es;COMMON.BUTTON.CANCEL;Cancel;Cancelar;1;
550e8400-e29b-41d4-a716-200000800000;es;COMMON.BUTTON.PROCEED;Proceed;Continuar;1;
550e8400-e29b-41d4-a716-200000900000;es;COMMON.BUTTON.SAVE;Save;Guardar;1;
550e8400-e29b-41d4-a716-200000900001;es;COMMON.BUTTON.UPDATE;Update;Actualizar;1;
550e8400-e29b-41d4-a716-200001000000;es;COMMON.BUTTON.HONK;Honk;Honk;1;
550e8400-e29b-41d4-a716-200001000001;es;COMMON.BUTTON.ADD;Add;Añadir;1;
550e8400-e29b-41d4-a716-200001000002;es;COMMON.BUTTON.REMOVE;Remove;Eliminar;1;
550e8400-e29b-41d4-a716-200001000003;es;COMMON.BUTTON.EDIT;Edit;Editar;1;
550e8400-e29b-41d4-a716-200001000004;es;COMMON.BUTTON.CREATE;Create;Crear;1;
550e8400-e29b-41d4-a716-200001000005;es;COMMON.BUTTON.RESET;Reset;Restablecer;1;
550e8400-e29b-41d4-a716-200001100000;es;AUTH.SIGN_IN.LOGIN_OR_EMAIL;Login or email;Usuario o correo electrónico;1;
550e8400-e29b-41d4-a716-200001200000;es;COMMON.PASSWORD;Password;Contraseña;1;
550e8400-e29b-41d4-a716-200001300000;es;AUTH.SIGN_IN.REMEMBER_ME;Remember me;Recordarme;1;
550e8400-e29b-41d4-a716-200001400000;es;AUTH.FORGOT;Forgot?;¿Olvidado?;1;
550e8400-e29b-41d4-a716-200001500000;es;AUTH.SIGN_IN.SIGN_IN;Sign in;Iniciar sesión;1;
550e8400-e29b-41d4-a716-200001600000;es;COMMON.EMAIL;Email;Correo electrónico;1;
550e8400-e29b-41d4-a716-200001700000;es;COMMON.LOGIN;Login;Usuario;1;
550e8400-e29b-41d4-a716-200001800000;es;AUTH.SIGN_UP.WELCOME;Welcome to the Honkler community!;¡Bienvenido a la comunidad Honkler!;1;
550e8400-e29b-41d4-a716-200001900000;es;COMMON.FIRST_NAME;First name;Nombre;1;
550e8400-e29b-41d4-a716-200002000000;es;COMMON.LAST_NAME;Last name;Apellido;1;
550e8400-e29b-41d4-a716-200002100000;es;COMMON.CONFIRM_EMAIL;Confirm email;Confirmar correo electrónico;1;
550e8400-e29b-41d4-a716-200002200000;es;COMMON.CONFIRM_PASSWORD;Confirm password;Confirmar contraseña;1;
550e8400-e29b-41d4-a716-200002300000;es;COMMON.NO_COMPLAINTS;No complaints;Sin quejas;1;
550e8400-e29b-41d4-a716-200002400000;es;COMMON.SIGN_UP;Sign up;Registrarse;1;
550e8400-e29b-41d4-a716-200002500000;es;PROFILE.EDUCATION.FIELD_OF_STUDY;Field of study;Campo de estudio;1;
550e8400-e29b-41d4-a716-200002600000;es;PROFILE.EDUCATION.INSTITUTION;Institution;Institución;1;
550e8400-e29b-41d4-a716-200002700000;es;COMMON.DO_NOT_STORE_ANY_SENSITIVE_DATA;Do not store any sensitive data;No almacenes datos sensibles;1;
550e8400-e29b-41d4-a716-200002800000;es;COMMON.START_DATE;Start date;Fecha de inicio;1;
550e8400-e29b-41d4-a716-200002900000;es;COMMON.END_DATE;End date;Fecha de finalización;1;
550e8400-e29b-41d4-a716-200003000000;es;COMMON.ISSUE_DATE;Issue date;Fecha de emisión;1;
550e8400-e29b-41d4-a716-200003100000;es;COMMON.EXPIRATION_DATE;Expiration date;Fecha de vencimiento;1;
550e8400-e29b-41d4-a716-200003200000;es;PROFILE.CERTIFICATION.CERTIFICATION;Certification;Certificación;1;
550e8400-e29b-41d4-a716-200003300000;es;PROFILE.CERTIFICATION.ISSUER;Issuer;Emisor;1;
550e8400-e29b-41d4-a716-200003400000;es;PROFILE.PROJECT.PROJECT;Project;Proyecto;1;
550e8400-e29b-41d4-a716-200003500000;es;PROFILE.COMPANY.COMPANY;Company;Empresa;1;
550e8400-e29b-41d4-a716-200003600000;es;PROFILE.ACHIEVEMENT.ACHIEVEMENT;Achievement;Logro;1;
550e8400-e29b-41d4-a716-200003700000;es;COMMON.POSITION;Position;Cargo;1;
550e8400-e29b-41d4-a716-200003800000;es;COMMON.LOCATION;Location;Ubicación;1;
550e8400-e29b-41d4-a716-200003900000;es;COMMON.COUNTRY;Country;País;1;
550e8400-e29b-41d4-a716-200004000000;es;JOB_TYPE.JOB_TYPE;Job type;Tipo de trabajo;1;
550e8400-e29b-41d4-a716-200004100000;es;JOB_TYPE.FULL_TIME;Full-time;Tiempo completo;1;
550e8400-e29b-41d4-a716-200004200000;es;JOB_TYPE.PART_TIME;Part-time;Tiempo parcial;1;
550e8400-e29b-41d4-a716-200004300000;es;JOB_TYPE.CONTRACT;Contract;Contrato;1;
550e8400-e29b-41d4-a716-200004400000;es;JOB_TYPE.TEMPORARY;Temporary;Temporal;1;
550e8400-e29b-41d4-a716-200004500000;es;JOB_TYPE.INTERN;Intern;Prácticas;1;
550e8400-e29b-41d4-a716-200004600000;es;JOB_TYPE.VOLUNTEER;Volunteer;Voluntario;1;
550e8400-e29b-41d4-a716-200004700000;es;JOB_TYPE.FREELANCE;Freelance;Freelance;1;
550e8400-e29b-41d4-a716-200004800000;es;JOB_TYPE.STARTUP;Startup;Startup;1;
550e8400-e29b-41d4-a716-200004900000;es;JOB_TYPE.OTHER;Other;Otro;1;
550e8400-e29b-41d4-a716-200005000000;es;JOB_TYPE.DISTANCE;Distance;A distancia;1;
550e8400-e29b-41d4-a716-200005100000;es;JOB_TYPE.EVENING;Evening;Nocturno;1;
550e8400-e29b-41d4-a716-200005200000;es;JOB_TYPE.ONLINE;Online;En línea;1;
550e8400-e29b-41d4-a716-200005300000;es;JOB_TYPE.MIXED;Mixed;Mixto;1;
550e8400-e29b-41d4-a716-200005400000;es;JOB_TYPE.EXCHANGE;Exchange;Intercambio;1;
550e8400-e29b-41d4-a716-200005500000;es;JOB_TYPE.SELF_PACED;Self-paced;A tu ritmo;1;
550e8400-e29b-41d4-a716-200005600000;es;JOB_TYPE.IN_PERSON;In-person;Presencial;1;
550e8400-e29b-41d4-a716-200005700000;es;JOB_TYPE.HYBRID;Hybrid;Híbrido;1;
550e8400-e29b-41d4-a716-200005800000;es;JOB_TYPE.PROCTORED_ONLINE;Proctored online;En línea supervisado;1;
550e8400-e29b-41d4-a716-200005900000;es;JOB_TYPE.UNPROCTORED;Unproctored;Sin supervisión;1;
550e8400-e29b-41d4-a716-200006000000;es;WORK_ARRANGEMENT.WORK_ARRANGEMENT;Work arrangement;Modalidad de trabajo;1;
550e8400-e29b-41d4-a716-200006100000;es;WORK_ARRANGEMENT.ON_SITE;On-site;Presencial;1;
550e8400-e29b-41d4-a716-200006200000;es;WORK_ARRANGEMENT.REMOTE;Remote;Remoto;1;
550e8400-e29b-41d4-a716-200006300000;es;WORK_ARRANGEMENT.HYBRID;Hybrid;Híbrido;1;
550e8400-e29b-41d4-a716-200006400000;es;WORK_ARRANGEMENT.FLEXIBLE;Flexible;Flexible;1;
550e8400-e29b-41d4-a716-200006500000;es;WORK_ARRANGEMENT.TRAVEL_REQUIRED;Travel Required;Requiere viajes;1;
550e8400-e29b-41d4-a716-200006600000;es;WORK_ARRANGEMENT.SHIFT_BASED;Shift-based;Por turnos;1;
550e8400-e29b-41d4-a716-200006700000;es;COMMON.DESCRIPTION;Description;Descripción;1;
550e8400-e29b-41d4-a716-200006800000;es;COMMON.SALARY_RANGE;Salary range;Rango salarial;1;
550e8400-e29b-41d4-a716-200006900000;es;COMMON.FROM;From;Desde;1;
550e8400-e29b-41d4-a716-200007000000;es;COMMON.TO;To;Hasta;1;
550e8400-e29b-41d4-a716-200007100000;es;COMMON.SKILLS;Skills;Habilidades;1;
550e8400-e29b-41d4-a716-200007100001;es;COMMON.SKILL;Skill;Habilidad;1;
550e8400-e29b-41d4-a716-200007200000;es;EXPERIENCE_LEVEL.EXPERIENCE_LEVEL;Experience level;Nivel de experiencia;1;
550e8400-e29b-41d4-a716-200007300000;es;EXPERIENCE_LEVEL.INTERNSHIP;Internship;Prácticas;1;
550e8400-e29b-41d4-a716-200007400000;es;EXPERIENCE_LEVEL.ENTRY_LEVEL;Entry Level;Nivel inicial;1;
550e8400-e29b-41d4-a716-200007500000;es;EXPERIENCE_LEVEL.JUNIOR;Junior;Junior;1;
550e8400-e29b-41d4-a716-200007600000;es;EXPERIENCE_LEVEL.MID_LEVEL;Mid Level;Nivel medio;1;
550e8400-e29b-41d4-a716-200007700000;es;EXPERIENCE_LEVEL.SENIOR;Senior;Senior;1;
550e8400-e29b-41d4-a716-200007800000;es;EXPERIENCE_LEVEL.LEADER;Lead;Líder;1;
550e8400-e29b-41d4-a716-200007900000;es;EXPERIENCE_LEVEL.EXECUTIVE;Executive;Ejecutivo;1;
550e8400-e29b-41d4-a716-200008000000;es;EXPERIENCE_LEVEL.PRINCIPAL;Principal;Principal;1;
550e8400-e29b-41d4-a716-200008100000;es;EXPERIENCE_LEVEL.STAFF;Staff;Personal;1;
550e8400-e29b-41d4-a716-200008200000;es;EXPERIENCE_LEVEL.OTHER;Other;Otro;1;
550e8400-e29b-41d4-a716-200008300000;es;EXPERIENCE_LEVEL.TIER_1;Tier 1;Nivel 1;1;
550e8400-e29b-41d4-a716-200008400000;es;EXPERIENCE_LEVEL.TIER_2;Tier 2;Nivel 2;1;
550e8400-e29b-41d4-a716-200008500000;es;EXPERIENCE_LEVEL.TIER_3;Tier 3;Nivel 3;1;
550e8400-e29b-41d4-a716-200008600000;es;EXPERIENCE_LEVEL.TIER_4;Tier 4;Nivel 4;1;
550e8400-e29b-41d4-a716-200008700000;es;EXPERIENCE_LEVEL.TIER_5;Tier 5;Nivel 5;1;
550e8400-e29b-41d4-a716-200008800000;es;EXPERIENCE_LEVEL.TIER_6;Tier 6;Nivel 6;1;
550e8400-e29b-41d4-a716-200008900000;es;EXPERIENCE_LEVEL.TIER_7;Tier 7;Nivel 7;1;
550e8400-e29b-41d4-a716-200009000000;es;COMMON.LANGUAGES;Languages;Idiomas;1;
550e8400-e29b-41d4-a716-200010000000;es;COMMON.LANGUAGE;Language;Idioma;1;
550e8400-e29b-41d4-a716-200010100000;es;LANGUAGE_LEVEL.LANGUAGE_LEVEL;Language level;Nivel de idioma;1;
550e8400-e29b-41d4-a716-200010200000;es;LANGUAGE_LEVEL.BEGINNER;Beginner;Principiante;1;
550e8400-e29b-41d4-a716-200010300000;es;LANGUAGE_LEVEL.ELEMENTARY;Elementary;Elemental;1;
550e8400-e29b-41d4-a716-200010400000;es;LANGUAGE_LEVEL.INTERMEDIATE;Intermediate;Intermedio;1;
550e8400-e29b-41d4-a716-200010500000;es;LANGUAGE_LEVEL.UPPER_INTERMEDIATE;Upper Intermediate;Intermedio alto;1;
550e8400-e29b-41d4-a716-200010600000;es;LANGUAGE_LEVEL.ADVANCED;Advanced;Avanzado;1;
550e8400-e29b-41d4-a716-200010700000;es;LANGUAGE_LEVEL.PROFICIENT;Proficient;Competente;1;
550e8400-e29b-41d4-a716-200010800000;es;LANGUAGE_LEVEL.NATIVE;Native;Nativo;1;
550e8400-e29b-41d4-a716-200010900000;es;PROFILE.SECTION.PRIMARY_INFO;Primary info;Información principal;1;
550e8400-e29b-41d4-a716-200011000000;es;PROFILE.SECTION.AUTH_SECTION;Auth section;Sección de autenticación;1;
550e8400-e29b-41d4-a716-200011100000;es;PROFILE.HEADLINE;Headline;Título;1;
550e8400-e29b-41d4-a716-200011200000;es;PROFILE.SECTION.SECONDARY_INFO;Secondary info;Información secundaria;1;
550e8400-e29b-41d4-a716-200011300000;es;COMMON.CURRENCY;Currency;Moneda;1;
550e8400-e29b-41d4-a716-200011400000;es;COMMON.TIME_ZONE;Time zone;Zona horaria;1;
550e8400-e29b-41d4-a716-200011500000;es;COMMON.PHONE;Phone;Teléfono;1;
550e8400-e29b-41d4-a716-200011600000;es;PROFILE.LINKS;Links;Enlaces;1;
550e8400-e29b-41d4-a716-200011700000;es;PROFILE.SECTION.AI;AI;IA;1;
550e8400-e29b-41d4-a716-200011800000;es;PROFILE.APPLICATION.AI_TEXTAREA;Application AI textarea;Área de texto de IA para solicitudes;1;
550e8400-e29b-41d4-a716-200011900000;es;THEME.DARK;Dark Theme;Tema oscuro;1;
550e8400-e29b-41d4-a716-200012000000;es;THEME.LIGHT;Light Theme;Tema claro;1;
550e8400-e29b-41d4-a716-200012100000;es;MENU.HOME;Home;Inicio;1;
550e8400-e29b-41d4-a716-200012200000;es;MENU.JOBS;Jobs;Empleos;1;
550e8400-e29b-41d4-a716-200012300000;es;MENU.COMPANIES;Companies;Empresas;1;
550e8400-e29b-41d4-a716-200012400000;es;MENU.KARMA;Karma;Karma;1;
550e8400-e29b-41d4-a716-200012500000;es;IN_DEVELOPMENT.OOPS_PAGE;Oops! Page under construction.;¡Ups! Página en construcción.;1;
550e8400-e29b-41d4-a716-200012600000;es;COMMON.GO_HOME;Go home;Ir al inicio;1;
550e8400-e29b-41d4-a716-200012700000;es;COMMON.BACK_TO_SIGN_IN;Back to sign in;Volver a iniciar sesión;1;
550e8400-e29b-41d4-a716-200012800000;es;NOT_FOUND.PAGE_NOT_FOUND;Oops! The page you''re looking for doesn''t exist.;¡Ups! La página que buscas no existe.;1;
550e8400-e29b-41d4-a716-200012900000;es;MENU.ACTIVE_APPLICATIONS;Active applications;Solicitudes activas;1;
550e8400-e29b-41d4-a716-200013000000;es;MENU.TODOS;To-dos;Tareas pendientes;1;
550e8400-e29b-41d4-a716-200013100000;es;MENU.RESPONSE_RATE;Response rate;Tasa de respuesta;1;
550e8400-e29b-41d4-a716-200013200000;es;MENU.UPCOMING_INTERVIEWS;Upcoming interviews;Entrevistas próximas;1;
550e8400-e29b-41d4-a716-200013300000;es;STATS.NEW_JOB_LISTINGS_PER_DAY;New job listings per day;Nuevas ofertas por día;1;
550e8400-e29b-41d4-a716-200013400000;es;STATS.JOB_APPLICATIONS_TREND;Job applications trend;Tendencia de solicitudes;1;
550e8400-e29b-41d4-a716-200013500000;es;COMMON.JOB.NEW_APPLICATION;Job application;Solicitud de empleo;1;
550e8400-e29b-41d4-a716-200013500001;es;COMMON.JOB.NEW_APPLICATIONS;Job applications;Solicitudes de empleo;1;
550e8400-e29b-41d4-a716-200013600000;es;STATS.TOP_COMPANIES;Top companies;Empresas principales;1;
550e8400-e29b-41d4-a716-200013700000;es;STATS.APPLICATION_STATUS_DISTRIBUTION;Application status distribution;Distribución del estado de solicitudes;1;
550e8400-e29b-41d4-a716-200013800000;es;JOB_STATUS.APPLIED;Applied;Aplicado;1;
550e8400-e29b-41d4-a716-200013900000;es;JOB_STATUS.IN_REVIEW;In review;En revisión;1;
550e8400-e29b-41d4-a716-200014000000;es;JOB_STATUS.INTERVIEW;Interview;Entrevista;1;
550e8400-e29b-41d4-a716-200014100000;es;JOB_STATUS.OFFER;Offer;Oferta;1;
550e8400-e29b-41d4-a716-200014200000;es;JOB_STATUS.REJECTED;Rejected;Rechazado;1;
550e8400-e29b-41d4-a716-200014300000;es;COMMON.WELCOME_BACK;Welcome back;¡Bienvenido de nuevo!;1;
550e8400-e29b-41d4-a716-200014400000;es;PROFILE.SECTION.WORK_EXPERIENCE;Work experience;Experiencia laboral;1;
550e8400-e29b-41d4-a716-200014500000;es;PROFILE.SECTION.EDUCATION;Education;Educación;1;
550e8400-e29b-41d4-a716-200014600000;es;PROFILE.SECTION.PROJECTS;Projects;Proyectos;1;
550e8400-e29b-41d4-a716-200014700000;es;PROFILE.SECTION.ACHIEVEMENTS;Achievements;Logros;1;
550e8400-e29b-41d4-a716-200014800000;es;PROFILE.SECTION.CERTIFICATIONS;Certifications;Certificaciones;1;
550e8400-e29b-41d4-a716-200014900000;es;COMMON.EMPTY_SECTION;Empty section;Sección vacía;1;
550e8400-e29b-41d4-a716-200015000000;es;PROFILE.USER_PREFERENCES;User preferences;Preferencias del usuario;1;
550e8400-e29b-41d4-a716-200015100000;es;ERROR.NOT_FOUND;Not found;No encontrado;1;
550e8400-e29b-41d4-a716-200015200000;es;ERROR.ENTITY_NOT_FOUND;Entity not found;Entidad no encontrada;1;
550e8400-e29b-41d4-a716-200015300000;es;ERROR.ENTITY_WITH_ID_NOT_FOUND;Entity with ID not found;Entidad con ID no encontrada;1;
550e8400-e29b-41d4-a716-200015400000;es;ERROR.ENTITY_WITH_EMAIL_ALREADY_EXISTS;Entity with email already exists;Entidad con correo electrónico ya existe;1;
550e8400-e29b-41d4-a716-200015500000;es;ERROR.ENTITY_WITH_LOGIN_ALREADY_EXISTS;Entity with login already exists;Entidad con usuario ya existe;1;
550e8400-e29b-41d4-a716-200015600000;es;ERROR.VALIDATION_ERROR;Validation error;Error de validación;1;
550e8400-e29b-41d4-a716-200015700000;es;ERROR.ENTITY_ALREADY_EXISTS;Entity already exists;Entidad ya existe;1;
550e8400-e29b-41d4-a716-200015700001;es;ERROR.ALREADY_EXISTS;Already exists;Ya existe;1;
550e8400-e29b-41d4-a716-200015800000;es;ERROR.INTERNAL_SERVER_ERROR;Internal server error;Error interno del servidor;1;
550e8400-e29b-41d4-a716-200015900000;es;ERROR.BLOCKED;Blocked;Bloqueado;1;
550e8400-e29b-41d4-a716-200016000000;es;ERROR.RESOURCE_NOT_FOUND;Resource not found;Recurso no encontrado;1;
550e8400-e29b-41d4-a716-200016100000;es;ERROR.ENTITY_BLOCKED;Entity blocked;Entidad bloqueada;1;
550e8400-e29b-41d4-a716-200016200000;es;ERROR.ENTITY_PESSIMISTIC_LOCKED;Entity is locked;Entidad bloqueada;1;
550e8400-e29b-41d4-a716-200016300000;es;ERROR.WRONG_AUTH;Wrong authentication;Autenticación incorrecta;1;
550e8400-e29b-41d4-a716-200016400000;es;ERROR.FORBIDDEN;Forbidden;Prohibido;1;
550e8400-e29b-41d4-a716-200016500000;es;ERROR.USER_BLOCKED;User blocked;Usuario bloqueado;1;
550e8400-e29b-41d4-a716-200016600000;es;ERROR.POTENTIAL_HARMFUL_CONTENT;Potential harmful content;Contenido potencialmente dañino;1;
550e8400-e29b-41d4-a716-200016700000;es;ERROR.JWT_MIN_LENGTH;JWT min length;Longitud mínima de JWT;1;
550e8400-e29b-41d4-a716-200016800000;es;ERROR.JWT_INVALID_FORMAT;JWT invalid format;Formato de JWT inválido;1;
550e8400-e29b-41d4-a716-200016900000;es;ERROR.JWT_USER_CLAIM_NOT_FOUND;JWT user claim not found;Reclamación de usuario JWT no encontrada;1;
550e8400-e29b-41d4-a716-200017000000;es;ERROR.JWT_USER_CLAIM_INVALID_CONVERSION;JWT user claim invalid conversion;Conversión inválida de reclamación de usuario JWT;1;
550e8400-e29b-41d4-a716-200017100000;es;ERROR.FORGOT_PASSWORD_REQUEST_TOO_SOON;Forgot password request too soon;Solicitud de contraseña olvidada demasiado pronto;1;
550e8400-e29b-41d4-a716-200017200000;es;ERROR.RESTORE_PASSWORD_PROCESSING_ISSUE;Restore password processing issue;Problema al procesar la restauración de contraseña;1;
550e8400-e29b-41d4-a716-200017300000;es;ERROR.VERSION_NOT_SPECIFIED;Version not specified;Versión no especificada;1;
550e8400-e29b-41d4-a716-200017400000;es;ERROR.VERSION_NOT_SUPPORTED;Version not supported;Versión no soportada;1;
550e8400-e29b-41d4-a716-200017500000;es;ERROR.UPDATE_ONLY_OWN_SETTINGS;Update only own settings;Actualizar solo configuraciones propias;1;
550e8400-e29b-41d4-a716-200017600000;es;ERROR.INVALID_URL;Invalid URL;URL inválida;1;
550e8400-e29b-41d4-a716-200017700000;es;ERROR.URL_NOT_HTTPS;URL not HTTPS;URL no es HTTPS;1;
550e8400-e29b-41d4-a716-200017800000;es;ERROR.UNKNOWN_URL_TYPE;Unknown URL type;Tipo de URL desconocido;1;
550e8400-e29b-41d4-a716-200017900000;es;ENTITY.STATUS.NEW;New;Nuevo;1;
550e8400-e29b-41d4-a716-200018000000;es;ENTITY.STATUS.ACTIVE;Active;Activo;1;
550e8400-e29b-41d4-a716-200018100000;es;ENTITY.STATUS.INACTIVE;Inactive;Inactivo;1;
550e8400-e29b-41d4-a716-200018200000;es;ENTITY.STATUS.BLOCKED;Blocked;Bloqueado;1;
550e8400-e29b-41d4-a716-200018300000;es;ENTITY.STATUS.DELETED;Deleted;Eliminado;1;
550e8400-e29b-41d4-a716-200018400000;es;ENTITY.STATUS.PENDING;Pending;Pendiente;1;
550e8400-e29b-41d4-a716-200018500000;es;ENTITY.STATUS.APPROVED;Approved;Aprobado;1;
550e8400-e29b-41d4-a716-200018600000;es;ENTITY.STATUS.REJECTED;Rejected;Rechazado;1;
550e8400-e29b-41d4-a716-200018700000;es;ENTITY.STATUS.COMPLETED;Completed;Completado;1;
550e8400-e29b-41d4-a716-200018800000;es;ENTITY.STATUS.CANCELLED;Cancelled;Cancelado;1;
550e8400-e29b-41d4-a716-200018900000;es;ENTITY.STATUS.ARCHIVED;Archived;Archivado;1;
550e8400-e29b-41d4-a716-200019000000;es;MESSAGES.CHANGES_SUCCESSFULLY_SAVED;Changes successfully saved;Cambios guardados exitosamente;1;
550e8400-e29b-41d4-a716-200019100000;es;DATES.JANUARY_SHORT;Jan;Ene;1;
550e8400-e29b-41d4-a716-200019200000;es;DATES.FEBRUARY_SHORT;Feb;Feb;1;
550e8400-e29b-41d4-a716-200019300000;es;DATES.MARCH_SHORT;Mar;Mar;1;
550e8400-e29b-41d4-a716-200019400000;es;DATES.APRIL_SHORT;Apr;Abr;1;
550e8400-e29b-41d4-a716-200019500000;es;DATES.MAY_SHORT;May;May;1;
550e8400-e29b-41d4-a716-200019600000;es;DATES.JUNE_SHORT;Jun;Jun;1;
550e8400-e29b-41d4-a716-200019700000;es;DATES.JULY_SHORT;Jul;Jul;1;
550e8400-e29b-41d4-a716-200019800000;es;DATES.AUGUST_SHORT;Aug;Ago;1;
550e8400-e29b-41d4-a716-200019900000;es;DATES.SEPTEMBER_SHORT;Sep;Sep;1;
550e8400-e29b-41d4-a716-200020000000;es;DATES.OCTOBER_SHORT;Oct;Oct;1;
550e8400-e29b-41d4-a716-200020100000;es;DATES.NOVEMBER_SHORT;Nov;Nov;1;
550e8400-e29b-41d4-a716-200020200000;es;DATES.DECEMBER_SHORT;Dec;Dic;1;
550e8400-e29b-41d4-a716-200020300000;es;DATES.MONDAY_SHORT;Mon;Lun;1;
550e8400-e29b-41d4-a716-200020400000;es;DATES.TUESDAY_SHORT;Tue;Mar;1;
550e8400-e29b-41d4-a716-200020500000;es;DATES.WEDNESDAY_SHORT;Wed;Mié;1;
550e8400-e29b-41d4-a716-200020600000;es;DATES.THURSDAY_SHORT;Thu;Jue;1;
550e8400-e29b-41d4-a716-200020700000;es;DATES.FRIDAY_SHORT;Fri;Vie;1;
550e8400-e29b-41d4-a716-200020800000;es;DATES.SATURDAY_SHORT;Sat;Sáb;1;
550e8400-e29b-41d4-a716-200020900000;es;DATES.SUNDAY_SHORT;Sun;Dom;1;
550e8400-e29b-41d4-a716-200021000000;es;INPUT.TOO_MANY_ITEMS_START_TYPING;Too many items, start typing...;Demasiados elementos, comienza a escribir...;1;
550e8400-e29b-41d4-a716-200021100000;es;ERROR.FIELD_REQUIRED;Field is required;El campo es requerido;1;
550e8400-e29b-41d4-a716-200021200000;es;ERROR.CHECK_CHECKBOX;Check checkbox;Marcar casilla;1;
550e8400-e29b-41d4-a716-200021300000;es;ERROR.INVALID_EMAIL;Invalid email;Correo electrónico inválido;1;
550e8400-e29b-41d4-a716-200021400000;es;JOB_SOURCE.JOB_BOARD;Job board;Tablero de empleos;1;
550e8400-e29b-41d4-a716-200021500000;es;JOB_SOURCE.COMPANY_WEBSITE;Company website;Sitio web de la empresa;1;
550e8400-e29b-41d4-a716-200021600000;es;JOB_SOURCE.RECOMMENDATION;Recommendation;Recomendación;1;
550e8400-e29b-41d4-a716-200021700000;es;JOB_SOURCE.SOCIAL_MEDIA;Social media;Redes sociales;1;
550e8400-e29b-41d4-a716-200021800000;es;JOB_SOURCE.OTHER;Other;Otro;1;
550e8400-e29b-41d4-a716-200021900000;es;ROLE.ROLE;Role;Rol;1;
550e8400-e29b-41d4-a716-200022000000;es;ROLE.USER;User;Usuario;1;
550e8400-e29b-41d4-a716-200022100000;es;ROLE.TECHNICAL_SUPPORT;Technical support;Soporte técnico;1;
550e8400-e29b-41d4-a716-200022200000;es;ROLE.ADMIN;Admin;Administrador;1;
550e8400-e29b-41d4-a716-200022300000;es;ROLE.SUPER_ADMIN;Super admin;Super administrador;1;
