id;locale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-300000000001;fr;AUTH.GREETINGS;Greetings fellow, Honkler!;Bonjour à tous, Honkler !;1;
550e8400-e29b-41d4-a716-300000000002;fr;AUTH.SIGN_IN.JOKE;Maybe we need back to;Peut-être devrions-nous revenir à;1;
550e8400-e29b-41d4-a716-300000000003;fr;COMMON.LOGIN_OR_EMAIL;Login or Email;Login ou Email;1;
550e8400-e29b-41d4-a716-300000000004;fr;COMMON.PASSWORD;Password;Mot de passe;1;
550e8400-e29b-41d4-a716-300000000005;fr;COMMON.CONFIRM_PASSWORD;Password;Mot de passe;1;
550e8400-e29b-41d4-a716-300000000006;fr;COMMON.REMEMBER_ME;Remember me;Se souvenir de moi;1;
550e8400-e29b-41d4-a716-300000000007;fr;COMMON.FORGOT;Forgot;Oublié;1;
550e8400-e29b-41d4-a716-300000000008;fr;COMMON.SIGN_IN;Sign In;Se connecter;1;
550e8400-e29b-41d4-a716-300000000009;fr;COMMON.SIGN_UP;Sign Up;S''inscrire;1;
550e8400-e29b-41d4-a716-300000000010;fr;AUTH.NO_ACCOUNT.SIGN_UP;Don''t have an account? Sign Up;Vous n''avez pas de compte ? S''inscrire;1;
550e8400-e29b-41d4-a716-300000000011;fr;AUTH.HAS_ACCOUNT.SIGN_IN;Already have an account? Sign In;Vous avez déjà un compte ? S''inscrire;1;
550e8400-e29b-41d4-a716-300000000012;fr;COMMON.LOGIN;Login;Se connecter;1;
550e8400-e29b-41d4-a716-300000000013;fr;COMMON.EMAIL;Email;Courriel;1;
550e8400-e29b-41d4-a716-300000000014;fr;COMMON.CONFIRM_EMAIL;Confirm email;Confirmer l''email;1;
550e8400-e29b-41d4-a716-300000000015;fr;COMMON.PROCEED;Proceed;Procéder;1;
550e8400-e29b-41d4-a716-300000000018;fr;COMMON.NO_COMPLAINTS;No complaints;Pas de plaintes;1;
550e8400-e29b-41d4-a716-300000000019;fr;COMMON.WE_ARE_HONKING;We are honking since 2024!;Nous klaxonnons depuis 2024 !;1;
550e8400-e29b-41d4-a716-300000000020;fr;COMMON.DO_NOT_STORE_SENS_DATA;DO NOT STORE ANY SENSITIVE DATA HERE!;NE STOCKEZ PAS DE DONNÉES SENSIBLES ICI !;1;
550e8400-e29b-41d4-a716-300000000021;fr;COMMON.LIGHT_THEME;Light theme;Thème clair;1;
550e8400-e29b-41d4-a716-300000000022;fr;COMMON.DARK_THEME;Dark theme;Thème sombre;1;
550e8400-e29b-41d4-a716-300000000023;fr;ERROR.PASSWORDS_DO_NOT_MATCH;Passwords do not match;Les mots de passe ne correspondent pas;1;
550e8400-e29b-41d4-a716-300000000024;fr;ERROR.EMAILS_DO_NOT_MATCH;Emails do not match;Les courriels ne correspondent pas;1;
550e8400-e29b-41d4-a716-300000000025;fr;ERROR.FIELD_REQUIRED;The field is required!;Le champ est obligatoire !;1;
550e8400-e29b-41d4-a716-300000000026;fr;ERROR.CHECK_CHECKBOX;Please check the box!;Veuillez cocher la case !;1;
550e8400-e29b-41d4-a716-300000000027;fr;ERROR.INVALID_EMAIL;Invalid email format!;Format d''e-mail non valide !;1;
550e8400-e29b-41d4-a716-300000000028;fr;MENU.HOME;Home;Accueil;1;
550e8400-e29b-41d4-a716-300000000029;fr;MENU.JOBS;Jobs;Emplois;1;
550e8400-e29b-41d4-a716-300000000030;fr;MENU.COMPANIES;Companies;Entreprises;1;
550e8400-e29b-41d4-a716-300000000031;fr;MENU.KARMA;Karma;Karma;1;
550e8400-e29b-41d4-a716-300000000032;fr;COMMON.WELCOME_BACK;Welcome back;Bienvenue;1;
550e8400-e29b-41d4-a716-300000000033;fr;MENU.ACTIVE_APPLICATIONS;Active Applications;Applications actives;1;
550e8400-e29b-41d4-a716-300000000034;fr;MENU.TODOS;TODOs;TODOs;1;
550e8400-e29b-41d4-a716-300000000035;fr;MENU.RESPONSE_RATE;Response Rate;Taux de réponse;1;
550e8400-e29b-41d4-a716-300000000036;fr;MENU.UPCOMING_INTERVIEWS;Upcoming Interviews;Prochains entretiens;1;
550e8400-e29b-41d4-a716-300000000037;fr;COMMON.NEW_APPLICATION;New Application;Nouvelle candidature;1;
550e8400-e29b-41d4-a716-300000000038;fr;STATS.JOB_APPLICATIONS_TREND;Job Applications Trend;Tendance des demandes d''emploi;1;
550e8400-e29b-41d4-a716-300000000039;fr;STATS.TOP_COMPANIES;Top Companies (Applications);Principales entreprises (candidatures);1;
550e8400-e29b-41d4-a716-300000000040;fr;STATS.NEW_JOB_LISTINGS_PER_DAY;New Job Listings per Day;Nouvelles offres d''emploi par jour;1;
550e8400-e29b-41d4-a716-300000000041;fr;STATS.APPLICATION_STATUS_DISTRIBUTION;Application Status Distribution;Répartition de l''état des candidatures;1;
550e8400-e29b-41d4-a716-300000000042;fr;STATUS.APPLIED;Applied;Candidature acceptée;1;
550e8400-e29b-41d4-a716-300000000043;fr;STATUS.REJECTED;Rejected;Refusé;1;
550e8400-e29b-41d4-a716-300000000044;fr;STATUS.OFFER;Offer;Offre;1;
550e8400-e29b-41d4-a716-300000000045;fr;STATUS.INTERVIEW;Interview;Entretien;1;
550e8400-e29b-41d4-a716-300000000046;fr;STATUS.IN_REVIEW;In Review;En cours d''examen;1;
550e8400-e29b-41d4-a716-300000000047;fr;COMMON.CREATE;Create;Créer;1;
550e8400-e29b-41d4-a716-300000000048;fr;COMMON.EDIT;Edit;Modifier;1;
550e8400-e29b-41d4-a716-300000000049;fr;COMMON.APPLICATION_LINK;Application Link;Lien de candidature;1;
550e8400-e29b-41d4-a716-300000000050;fr;COMMON.JOB_TITLE;Job Title;Titre du poste;1;
550e8400-e29b-41d4-a716-300000000051;fr;COMMON.COMPANY;Company;Entreprise;1;
550e8400-e29b-41d4-a716-300000000052;fr;COMMON.LOCATION;Location;Lieu de travail;1;
550e8400-e29b-41d4-a716-300000000053;fr;COMMON.EXPERIENCE_LEVEL;Experience Level;Niveau d''expérience;1;
550e8400-e29b-41d4-a716-300000000054;fr;COMMON.JOB_TYPE;Job Type;Type d''emploi;1;
550e8400-e29b-41d4-a716-300000000055;fr;COMMON.SOURCE;Source;Source d''information;1;
550e8400-e29b-41d4-a716-300000000056;fr;COMMON.SALARY_RANGE;Salary range;Fourchette de salaire;1;
550e8400-e29b-41d4-a716-300000000057;fr;COMMON.FROM;From;A partir de;1;
550e8400-e29b-41d4-a716-300000000058;fr;COMMON.TO;To;jusqu''à;1;
550e8400-e29b-41d4-a716-300000000059;fr;COMMON.CURRENCY;Currency;Monnaie;1;
550e8400-e29b-41d4-a716-300000000060;fr;COMMON.POSTED_DATE;Posted Date;Date de publication;1;
550e8400-e29b-41d4-a716-300000000061;fr;COMMON.APPLICATION_DEADLINE;Application Deadline;Date limite de candidature;1;
550e8400-e29b-41d4-a716-300000000062;fr;COMMON.Contact_EMAIL;Contact Email;Email de contact;1;
550e8400-e29b-41d4-a716-300000000063;fr;COMMON.DESCRIPTION;Description;Description de la demande;1;
550e8400-e29b-41d4-a716-300000000064;fr;COMMON.NOTES;Notes;Notes (en anglais);1;
550e8400-e29b-41d4-a716-300000000065;fr;COMMON.CANCEL;Cancel;Annuler;1;
550e8400-e29b-41d4-a716-300000000066;fr;COMMON.UPDATE;Update;Mise à jour;1;
550e8400-e29b-41d4-a716-300000000067;fr;COMMON.EDIT_PROFILE;Edit profile;Modifier le profil;1;
550e8400-e29b-41d4-a716-300000000068;fr;COMMON.EDIT_SKILLS;Edit skills;Modifier les compétences;1;
550e8400-e29b-41d4-a716-300000000069;fr;COMMON.ADD_EXPERIENCE;Add experience;Ajouter une expérience;1;
550e8400-e29b-41d4-a716-300000000070;fr;COMMON.SKILLS;Skills;Compétences;1;
550e8400-e29b-41d4-a716-300000000071;fr;COMMON.EXPERIENCE;Experience;Expérience;1;
550e8400-e29b-41d4-a716-300000000072;fr;COMMON.EDUCATION;Education;Formation;1;
550e8400-e29b-41d4-a716-300000000073;fr;COMMON.CERTIFICATIONS;Certifications;Certifications;1;
550e8400-e29b-41d4-a716-300000000074;fr;ROLE.USER;User;Utilisateur;1;
550e8400-e29b-41d4-a716-300000000075;fr;ROLE.TECHNICAL_SUPPORT;Technical Support;Support technique;1;
550e8400-e29b-41d4-a716-300000000076;fr;ROLE.ADMIN;Admin;Administrateur;1;
