id;locale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-400000000001;ua;AUTH.GREETINGS;Greetings fellow, Honkler!;Привіт, Хонклер!;1;
550e8400-e29b-41d4-a716-400000000002;ua;AUTH.SIGN_IN.JOKE;Maybe we need back to;Можливо, нам потрібно повернутися до;1;
550e8400-e29b-41d4-a716-400000000003;ua;COMMON.LOGIN_OR_EMAIL;Login or Email;Логін або електронна пошта;1;
550e8400-e29b-41d4-a716-400000000004;ua;COMMON.PASSWORD;Password;Пароль;1;
550e8400-e29b-41d4-a716-400000000005;ua;COMMON.CONFIRM_PASSWORD;Password;Підтвердіть пароль;1;
550e8400-e29b-41d4-a716-400000000006;ua;COMMON.REMEMBER_ME;Remember me;Запамятати мене;1;
550e8400-e29b-41d4-a716-400000000007;ua;COMMON.FORGOT;Forgot;Забули пароль;1;
550e8400-e29b-41d4-a716-400000000008;ua;COMMON.SIGN_IN;Sign In;Увійти;1;
550e8400-e29b-41d4-a716-400000000009;ua;COMMON.SIGN_UP;Sign Up;Зареєструватися;1;
550e8400-e29b-41d4-a716-400000000010;ua;AUTH.NO_ACCOUNT.SIGN_UP;Dont have an account? Sign Up;Немає облікового запису? Зареєструйтеся;1;
550e8400-e29b-41d4-a716-400000000011;ua;AUTH.HAS_ACCOUNT.SIGN_IN;Already have an account? Sign In;Вже маєте обліковий запис? Увійдіть;1;
550e8400-e29b-41d4-a716-400000000012;ua;COMMON.LOGIN;Login;Логін;1;
550e8400-e29b-41d4-a716-400000000013;ua;COMMON.EMAIL;Email;Електронна пошта;1;
550e8400-e29b-41d4-a716-400000000014;ua;COMMON.CONFIRM_EMAIL;Confirm email;Підтвердити електронну пошту;1;
550e8400-e29b-41d4-a716-400000000015;ua;COMMON.PROCEED;Proceed;Продовжити;1;
550e8400-e29b-41d4-a716-400000000016;ua;COMMON.FIRST_NAME;First Name;Ім''я;1;
550e8400-e29b-41d4-a716-400000000017;ua;COMMON.LAST_NAME;Last Name;Прізвище;1;
550e8400-e29b-41d4-a716-400000000018;ua;COMMON.NO_COMPLAINTS;No complaints;Немає скарг;1;
550e8400-e29b-41d4-a716-400000000019;ua;COMMON.WE_ARE_HONKING;We are honking since 2024!;Ми сигналимо з 2024 року!;1;
550e8400-e29b-41d4-a716-400000000020;ua;COMMON.DO_NOT_STORE_SENS_DATA;DO NOT STORE ANY SENSITIVE DATA HERE!;НЕ ЗБЕРІГАЙТЕ ЖОДНИХ КОНФІДЕНЦІЙНИХ ДАНИХ!;1;
550e8400-e29b-41d4-a716-400000000021;ua;COMMON.LIGHT_THEME;Light theme;Світла тема;1;
550e8400-e29b-41d4-a716-400000000022;ua;COMMON.DARK_THEME;Dark theme;Темна тема;1;
550e8400-e29b-41d4-a716-400000000023;ua;ERROR.PASSWORDS_DO_NOT_MATCH;Passwords do not match;Паролі не співпадають;1;
550e8400-e29b-41d4-a716-400000000024;ua;ERROR.EMAILS_DO_NOT_MATCH;Emails do not match;Електронні адреси не співпадають;1;
550e8400-e29b-41d4-a716-400000000025;ua;ERROR.FIELD_REQUIRED;The field is required!;Поле є обов’язковим!;1;
550e8400-e29b-41d4-a716-400000000026;ua;ERROR.CHECK_CHECKBOX;Please check the box!;Будь ласка, відмітьте поле!;1;
550e8400-e29b-41d4-a716-400000000027;ua;ERROR.INVALID_EMAIL;Invalid email format!;Невірний формат електронної пошти!;1;
550e8400-e29b-41d4-a716-400000000028;ua;MENU.HOME;Home;Головна;1;
550e8400-e29b-41d4-a716-400000000029;ua;MENU.JOBS;Jobs;Робота;1;
550e8400-e29b-41d4-a716-400000000030;ua;MENU.COMPANIES;Companies;Компанії;1;
550e8400-e29b-41d4-a716-400000000031;ua;MENU.KARMA;Karma;Карма;1;
550e8400-e29b-41d4-a716-400000000032;ua;COMMON.WELCOME_BACK;Welcome back;Ласкаво просимо;1;
550e8400-e29b-41d4-a716-400000000033;ua;MENU.ACTIVE_APPLICATIONS;Active Applications;Активні заявки;1;
550e8400-e29b-41d4-a716-400000000034;ua;MENU.TODOS;TODOs;Завдання;1;
550e8400-e29b-41d4-a716-400000000035;ua;MENU.RESPONSE_RATE;Response Rate;Рівень відгуку;1;
550e8400-e29b-41d4-a716-400000000036;ua;MENU.UPCOMING_INTERVIEWS;Upcoming Interviews;Майбутні співбесіди;1;
550e8400-e29b-41d4-a716-400000000037;ua;COMMON.NEW_APPLICATION;New Application;Нова заявка;1;
550e8400-e29b-41d4-a716-400000000038;ua;STATS.JOB_APPLICATIONS_TREND;Job Applications Trend;Тенденція заявок;1;
