id;locale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-500000100000;ru;AUTH.GREETINGS;Greetings fellow, Honkler!;Приветствуем тебя, Honkler!;1;
550e8400-e29b-41d4-a716-500000200000;ru;AUTH.SIGN_IN.JOKE;Maybe we need back to;Может быть, нам нужно вернуться к;1;
550e8400-e29b-41d4-a716-500000300000;ru;AUTH.NO_ACCOUNT_SIGN_UP;Don''t have an account? Sign up now!;Нет аккаунта? Зарегистрируйтесь сейчас!;1;
550e8400-e29b-41d4-a716-500000400000;ru;AUTH.HAS_ACCOUNT_SIGN_IN;Already have an account? Sign in now!;Уже есть аккаунт? Войдите сейчас!;1;
550e8400-e29b-41d4-a716-500000500000;ru;COMMON.FIX_ERROR_BEFORE_CONTINUE;Please fix the error before continuing.;Пожалуйста, исправьте ошибку перед продолжением.;1;
550e8400-e29b-41d4-a716-500000500001;ru;COMMON.WE_ARE_HONKING;We are honking since 2024!;Мы honk''аем с 2024 года!;1;
550e8400-e29b-41d4-a716-500000600000;ru;COMMON.BUTTON.OK;OK;OK;1;
550e8400-e29b-41d4-a716-500000700000;ru;COMMON.BUTTON.CANCEL;Cancel;Отмена;1;
550e8400-e29b-41d4-a716-500000800000;ru;COMMON.BUTTON.PROCEED;Proceed;Продолжить;1;
550e8400-e29b-41d4-a716-500000900000;ru;COMMON.BUTTON.SAVE;Save;Сохранить;1;
550e8400-e29b-41d4-a716-500000900001;ru;COMMON.BUTTON.UPDATE;Update;Обновить;1;
550e8400-e29b-41d4-a716-500001000000;ru;COMMON.BUTTON.HONK;Honk;Honk;1;
550e8400-e29b-41d4-a716-500001000001;ru;COMMON.BUTTON.ADD;Add;Добавить;1;
550e8400-e29b-41d4-a716-500001000002;ru;COMMON.BUTTON.REMOVE;Remove;Удалить;1;
550e8400-e29b-41d4-a716-500001000003;ru;COMMON.BUTTON.EDIT;Edit;Редактировать;1;
550e8400-e29b-41d4-a716-500001000004;ru;COMMON.BUTTON.CREATE;Create;Создать;1;
550e8400-e29b-41d4-a716-500001000005;ru;COMMON.BUTTON.RESET;Reset;Сбросить;1;
550e8400-e29b-41d4-a716-500001100000;ru;AUTH.SIGN_IN.LOGIN_OR_EMAIL;Login or email;Логин или email;1;
550e8400-e29b-41d4-a716-500001200000;ru;COMMON.PASSWORD;Password;Пароль;1;
550e8400-e29b-41d4-a716-500001300000;ru;AUTH.SIGN_IN.REMEMBER_ME;Remember me;Запомнить меня;1;
550e8400-e29b-41d4-a716-500001400000;ru;AUTH.FORGOT;Forgot?;Забыли?;1;
550e8400-e29b-41d4-a716-500001500000;ru;AUTH.SIGN_IN.SIGN_IN;Sign in;Войти;1;
550e8400-e29b-41d4-a716-500001600000;ru;COMMON.EMAIL;Email;Email;1;
550e8400-e29b-41d4-a716-500001700000;ru;COMMON.LOGIN;Login;Логин;1;
550e8400-e29b-41d4-a716-500001800000;ru;AUTH.SIGN_UP.WELCOME;Welcome to the Honkler community!;Добро пожаловать в сообщество Honkler!;1;
550e8400-e29b-41d4-a716-500001900000;ru;COMMON.FIRST_NAME;First name;Имя;1;
