id;locale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-600000100000;de;AUTH.GREETINGS;Greetings fellow, Honkler!;Hallo, lieber Honkler!;1;
550e8400-e29b-41d4-a716-600000200000;de;AUTH.SIGN_IN.JOKE;Maybe we need back to;Vielleicht müssen wir zurück zu;1;
550e8400-e29b-41d4-a716-600000300000;de;AUTH.NO_ACCOUNT_SIGN_UP;Don''t have an account? Sign up now!;Kein Konto? Jetzt registrieren!;1;
550e8400-e29b-41d4-a716-600000400000;de;AUTH.HAS_ACCOUNT_SIGN_IN;Already have an account? Sign in now!;Bereits ein Konto? Jetzt anmelden!;1;
550e8400-e29b-41d4-a716-600000500000;de;COMMON.FIX_ERROR_BEFORE_CONTINUE;Please fix the error before continuing.;Bitte beheben Sie den Fehler, bevor Sie fortfahren.;1;
550e8400-e29b-41d4-a716-600000500001;de;COMMON.WE_ARE_HONKING;We are honking since 2024!;Wir honken seit 2024!;1;
550e8400-e29b-41d4-a716-600000600000;de;COMMON.BUTTON.OK;OK;OK;1;
550e8400-e29b-41d4-a716-600000700000;de;COMMON.BUTTON.CANCEL;Cancel;Abbrechen;1;
550e8400-e29b-41d4-a716-600000800000;de;COMMON.BUTTON.PROCEED;Proceed;Fortfahren;1;
550e8400-e29b-41d4-a716-600000900000;de;COMMON.BUTTON.SAVE;Save;Speichern;1;
550e8400-e29b-41d4-a716-600000900001;de;COMMON.BUTTON.UPDATE;Update;Aktualisieren;1;
550e8400-e29b-41d4-a716-600001000000;de;COMMON.BUTTON.HONK;Honk;Honk;1;
550e8400-e29b-41d4-a716-600001000001;de;COMMON.BUTTON.ADD;Add;Hinzufügen;1;
550e8400-e29b-41d4-a716-600001000002;de;COMMON.BUTTON.REMOVE;Remove;Entfernen;1;
550e8400-e29b-41d4-a716-600001000003;de;COMMON.BUTTON.EDIT;Edit;Bearbeiten;1;
550e8400-e29b-41d4-a716-600001000004;de;COMMON.BUTTON.CREATE;Create;Erstellen;1;
550e8400-e29b-41d4-a716-600001000005;de;COMMON.BUTTON.RESET;Reset;Zurücksetzen;1;
550e8400-e29b-41d4-a716-600001100000;de;AUTH.SIGN_IN.LOGIN_OR_EMAIL;Login or email;Benutzername oder E-Mail;1;
550e8400-e29b-41d4-a716-600001200000;de;COMMON.PASSWORD;Password;Passwort;1;
550e8400-e29b-41d4-a716-600001300000;de;AUTH.SIGN_IN.REMEMBER_ME;Remember me;Angemeldet bleiben;1;
550e8400-e29b-41d4-a716-600001400000;de;AUTH.FORGOT;Forgot?;Vergessen?;1;
550e8400-e29b-41d4-a716-600001500000;de;AUTH.SIGN_IN.SIGN_IN;Sign in;Anmelden;1;
550e8400-e29b-41d4-a716-600001600000;de;COMMON.EMAIL;Email;E-Mail;1;
550e8400-e29b-41d4-a716-600001700000;de;COMMON.LOGIN;Login;Benutzername;1;
550e8400-e29b-41d4-a716-600001800000;de;AUTH.SIGN_UP.WELCOME;Welcome to the Honkler community!;Willkommen in der Honkler-Community!;1;
550e8400-e29b-41d4-a716-600001900000;de;COMMON.FIRST_NAME;First name;Vorname;1;
550e8400-e29b-41d4-a716-600002000000;de;COMMON.LAST_NAME;Last name;Nachname;1;
550e8400-e29b-41d4-a716-600002100000;de;COMMON.CONFIRM_EMAIL;Confirm email;E-Mail bestätigen;1;
550e8400-e29b-41d4-a716-600002200000;de;COMMON.CONFIRM_PASSWORD;Confirm password;Passwort bestätigen;1;
550e8400-e29b-41d4-a716-600002300000;de;COMMON.NO_COMPLAINTS;No complaints;Keine Beschwerden;1;
550e8400-e29b-41d4-a716-600002400000;de;COMMON.SIGN_UP;Sign up;Registrieren;1;
550e8400-e29b-41d4-a716-600002500000;de;PROFILE.EDUCATION.FIELD_OF_STUDY;Field of study;Studienfach;1;
550e8400-e29b-41d4-a716-600002600000;de;PROFILE.EDUCATION.INSTITUTION;Institution;Bildungseinrichtung;1;
550e8400-e29b-41d4-a716-600002700000;de;COMMON.DO_NOT_STORE_ANY_SENSITIVE_DATA;Do not store any sensitive data;Speichern Sie keine sensiblen Daten;1;
550e8400-e29b-41d4-a716-600002800000;de;COMMON.START_DATE;Start date;Startdatum;1;
550e8400-e29b-41d4-a716-600002900000;de;COMMON.END_DATE;End date;Enddatum;1;
550e8400-e29b-41d4-a716-600003000000;de;COMMON.ISSUE_DATE;Issue date;Ausstellungsdatum;1;
550e8400-e29b-41d4-a716-600003100000;de;COMMON.EXPIRATION_DATE;Expiration date;Ablaufdatum;1;
550e8400-e29b-41d4-a716-600003200000;de;PROFILE.CERTIFICATION.CERTIFICATION;Certification;Zertifizierung;1;
550e8400-e29b-41d4-a716-600003300000;de;PROFILE.CERTIFICATION.ISSUER;Issuer;Aussteller;1;
550e8400-e29b-41d4-a716-600003400000;de;PROFILE.PROJECT.PROJECT;Project;Projekt;1;
