id;title;titleEn;status;
1;EXPERIENCE_LEVEL.INTERNSHIP;Internship;1;
2;EXPERIENCE_LEVEL.ENTRY_LEVEL;Entry Level;1;
3;EXPERIENCE_LEVEL.JUNIOR;Junior;1;
4;EXPERIENCE_LEVEL.MID_LEVEL;Mid Level;1;
5;EXPERIENCE_LEVEL.SENIOR;Senior;1;
6;EXPERIENCE_LEVEL.LEADER;Lead;1;
7;EXPERIENCE_LEVEL.EXECUTIVE;Executive;1;
8;EXPERIENCE_LEVEL.PRINCIPAL;Principal;1;
9;EXPERIENCE_LEVEL.STAFF;Staff;1;
10;EXPERIENCE_LEVEL.OTHER;Other;1;
11;EXPERIENCE_LEVEL.TIER_1;Tier 1;1;
12;EXPERIENCE_LEVEL.TIER_2;Tier 2;1;
13;EXPERIENCE_LEVEL.TIER_3;Tier 3;1;
14;EXPERIENCE_LEVEL.TIER_4;Tier 4;1;
15;EXPERIENCE_LEVEL.TIER_5;Tier 5;1;
16;EXPERIENCE_LEVEL.TIER_6;Tier 6;1;
17;EXPERIENCE_LEVEL.TIER_7;Tier 7;1;
