id;title;
1;JavaScript;
2;TypeScript;
3;Python;
4;Java;
5;C#;
6;C++;
7;Go;
8;Rust;
9;Swift;
10;Kotlin;
11;PHP;
12;Ruby;
13;Dart;
14;SQL;
15;GraphQL;
16;HTML;
17;CSS;
18;SCSS;
19;SASS;
20;Shell Script;
21;Bash;
22;PowerShell;
23;Node.js;
24;React.js;
25;Angular;
26;Vue.js;
27;Svelte;
28;Next.js;
29;Nuxt.js;
30;NestJS;
31;Express.js;
32;Spring Boot;
33;Django;
34;Flask;
35;FastAPI;
36;ASP.NET Core;
37;Laravel;
38;Symfony;
39;Ruby on Rails;
40;Elixir;
41;Phoenix Framework;
42;Solidity;
43;TensorFlow;
44;PyTorch;
45;Kubernetes;
46;Docker;
47;AWS;
48;Google Cloud Platform (GCP);
49;Microsoft Azure;
50;Firebase;
